class_intervals class_boundaries class_marks  frequencies  cumulative_frequencies   
[0, 10]          [-0.5, 10.5]          [5.0]          11          11          
[10, 20]          [9.5, 20.5]          [15.0]          3          14          
[20, 30]          [19.5, 30.5]          [25.0]          0          14          
[30, 40]          [29.5, 40.5]          [35.0]          2          16          
[40, 50]          [39.5, 50.5]          [45.0]          1          17          
[50, 60]          [49.5, 60.5]          [55.0]          2          19          
[60, 70]          [59.5, 70.5]          [65.0]          0          19          
[70, 80]          [69.5, 80.5]          [75.0]          0          19          
[80, 90]          [79.5, 90.5]          [85.0]          1          20          
[90, 100]          [89.5, 100.5]          [95.0]          2          22          
class_intervals class_boundaries class_marks  frequencies  cumulative_frequencies   
[0, 10]                    [-0.5, 10.5]                    [5.0]                    11                    11                    
[10, 20]                    [9.5, 20.5]                    [15.0]                    3                    14                    
[20, 30]                    [19.5, 30.5]                    [25.0]                    0                    14                    
[30, 40]                    [29.5, 40.5]                    [35.0]                    2                    16                    
[40, 50]                    [39.5, 50.5]                    [45.0]                    1                    17                    
[50, 60]                    [49.5, 60.5]                    [55.0]                    2                    19                    
[60, 70]                    [59.5, 70.5]                    [65.0]                    0                    19                    
[70, 80]                    [69.5, 80.5]                    [75.0]                    0                    19                    
[80, 90]                    [79.5, 90.5]                    [85.0]                    1                    20                    
[90, 100]                    [89.5, 100.5]                    [95.0]                    2                    22                    
class_intervals class_boundaries class_marks  frequencies  cumulative_frequencies   
[0, 10]               [-0.5, 10.5]               [5.0]               11               11               
[10, 20]               [9.5, 20.5]               [15.0]               3               14               
[20, 30]               [19.5, 30.5]               [25.0]               0               14               
[30, 40]               [29.5, 40.5]               [35.0]               2               16               
[40, 50]               [39.5, 50.5]               [45.0]               1               17               
[50, 60]               [49.5, 60.5]               [55.0]               2               19               
[60, 70]               [59.5, 70.5]               [65.0]               0               19               
[70, 80]               [69.5, 80.5]               [75.0]               0               19               
[80, 90]               [79.5, 90.5]               [85.0]               1               20               
[90, 100]               [89.5, 100.5]               [95.0]               2               22               
class_intervals class_boundaries class_marks  frequencies  cumulative_frequencies   
[0, 10]            [-0.5, 10.5]            [5.0]            11            11            
[10, 20]            [9.5, 20.5]            [15.0]            3            14            
[20, 30]            [19.5, 30.5]            [25.0]            0            14            
[30, 40]            [29.5, 40.5]            [35.0]            2            16            
[40, 50]            [39.5, 50.5]            [45.0]            1            17            
[50, 60]            [49.5, 60.5]            [55.0]            2            19            
[60, 70]            [59.5, 70.5]            [65.0]            0            19            
[70, 80]            [69.5, 80.5]            [75.0]            0            19            
[80, 90]            [79.5, 90.5]            [85.0]            1            20            
[90, 100]            [89.5, 100.5]            [95.0]            2            22            
class_intervals class_boundaries class_marks  frequencies  cumulative_frequencies   
[0, 10]          [-0.5, 10.5]          [5.0]          11          11          
[10, 20]          [9.5, 20.5]          [15.0]          3          14          
[20, 30]          [19.5, 30.5]          [25.0]          0          14          
[30, 40]          [29.5, 40.5]          [35.0]          2          16          
[40, 50]          [39.5, 50.5]          [45.0]          1          17          
[50, 60]          [49.5, 60.5]          [55.0]          2          19          
[60, 70]          [59.5, 70.5]          [65.0]          0          19          
[70, 80]          [69.5, 80.5]          [75.0]          0          19          
[80, 90]          [79.5, 90.5]          [85.0]          1          20          
[90, 100]          [89.5, 100.5]          [95.0]          2          22          
